a,b,reltype
Q484399,Q489067,spouse
Q484400,Q28700404,child
Q484459,Q43087486,spouse
Q484489,Q3332980,child
Q484522,Q16193195,sibling
Q484522,Q7204839,sibling
Q484564,Q488093,spouse
Q484572,Q21060153,father
Q484674,Q61100362,child
Q484751,Q137299658,father
Q484787,Q21825244,spouse
Q484840,Q486374,grandfather
Q484840,Q4934381,father
Q484840,Q63964279,father
Q484840,Q63964711,spouse
Q484856,Q489091,spouse
Q484859,Q47667470,spouse
Q484866,Q257425,father
Q484866,Q334111,sibling
Q484866,Q485604,sibling
Q484866,Q487728,sibling
Q484866,Q496421,child
Q484866,Q51029,spouse
Q484886,Q50420882,spouse
Q484960,Q491363,child
Q485078,Q489067,spouse
Q485168,Q11629173,spouse
Q485170,Q12612110,father
Q485170,Q16091160,child
Q485170,Q17172288,spouse
Q485218,Q77841796,child
Q485308,Q15666746,mother
Q485387,Q18800,spouse
Q485466,Q489575,spouse
Q485517,Q104469789,sibling
Q485517,Q1080180,spouse
Q485517,Q3814008,spouse
Q485556,Q10874903,spouse
Q485556,Q14304,sibling
Q485556,Q16180284,sibling
Q485556,Q3382230,sibling
Q485556,Q378483,father
Q485556,Q483467,sibling
Q485556,Q488670,sibling
Q485556,Q488700,sibling
Q485556,Q498707,sibling
Q485556,Q626461,sibling
Q485556,Q6743293,father
Q485556,Q6743293,mother
